unnamed: 0,species,owner,country_of_origin,farm_name,lot_number,mill,ico_number,company,region,producer,number_of_bags,bag_weight,in_country_partner,harvest_year,grading_date,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,total_cup_points,moisture,category_one_defects,quakers,color,category_two_defects,expiration,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
837,Arabica,aulia arif syahri,Indonesia,mudar,BALI INTEN DEWATA,pt. olam indonesia,015/1969/008,pt. olam indonesia,bali,MUDAR,166,30,Specialty Coffee Association,2015-01-01,2017-01-19,Other,Other,7.75,7.83,7.58,7.75,7.92,7.83,10.0,10.0,10.0,5.17,81.83,0.11,0,1.0,Green,0,2018-01-19,m,1250.0,1250.0,1250.0
838,Arabica,juan luis alvarado romero,Guatemala,chapultepec,11/23/0507,beneficio ixchel,11/23/0507,"unex guatemala, s.a.",norte,CHAPULTEPEC,130,69,Asociacion Nacional Del Café,2015-01-01,,Bourbon,Washed / Wet,7.58,7.5,7.33,7.42,7.58,7.25,10.0,10.0,10.0,7.17,81.83,0.1,2,0.0,Green,6,,m,3280.0,3280.0,3280.0
860,Arabica,juan luis alvarado romero,Guatemala,las merceditas,11/23/0514,beneficio ixchel,11/23/0514,"unex guatemala, s.a.",san marcos,ANGEL DE LEON,50,69,Asociacion Nacional Del Café,2017-01-01,,Bourbon,Washed / Wet,7.5,7.5,7.25,7.42,7.42,7.33,10.0,10.0,10.0,7.33,81.75,0.11,0,1.0,Green,1,,m,1700.0,1700.0,1700.0
871,Arabica,ipanema coffees,Brazil,fazenda capoeirnha,019/17,dry mill,002/1660/0079,ipanema coffees,south of minas,Ipanema Agricola S.A,320,60,Brazil Specialty Coffee Association,,2017-10-20,Bourbon,Natural / Dry,7.42,7.5,7.25,7.5,7.5,7.25,10.0,10.0,10.0,7.25,81.67,0.11,0,0.0,Green,5,2018-10-20,m,890.0,890.0,890.0
872,Arabica,juan luis alvarado romero,Guatemala,las merceditas,11/23/0640,beneficio ixchel,11/23/0640,"unex guatemala, s.a.",san marcos,ANGEL DE LEON,50,69,Asociacion Nacional Del Café,2017-01-01,,Bourbon,Washed / Wet,7.42,7.42,7.08,7.42,7.33,7.42,10.0,10.0,10.0,7.58,81.67,0.1,0,0.0,Green,1,,m,1700.0,1700.0,1700.0
873,Arabica,juan luis alvarado romero,Guatemala,la esmeralda,11/23/0701,beneficio ixchel,11/23/0701,"unex guatemala, s.a.",santa rosa,JESUS RAMIREZ,80,69,Asociacion Nacional Del Café,2017-01-01,2017-06-05,Bourbon,Washed / Wet,7.42,7.33,7.17,7.67,7.33,7.42,10.0,10.0,10.0,7.33,81.67,0.12,0,1.0,Green,3,2018-06-05,ft,1219.2,1219.2,1219.2
874,Arabica,cadexsa,Honduras,bethel,340,dry mill,13-63-174,cadexsa,marcala,JOSE OMAR ACOSTA,275,69,Instituto Hondureño del Café,2016-01-01,,Catuai,Washed / Wet,7.58,7.5,7.33,7.33,7.42,7.25,10.0,10.0,10.0,7.25,81.67,0.11,0,0.0,Blue-Green,2,,m,1450.0,1450.0,1450.0
897,Arabica,juan luis alvarado romero,Guatemala,la esperanza,11/23/0368,beneficio ixchel,11/23/0368,"unex guatemala, s.a.",huehuetenango,"AGRICOLA EL PILAR, SA.",25,69,Asociacion Nacional Del Café,2017-01-01,,Bourbon,Washed / Wet,7.42,7.42,7.08,7.5,7.42,7.33,10.0,10.0,10.0,7.42,81.58,0.12,0,0.0,Green,0,,m,190164.0,190164.0,190164.0
898,Arabica,"lin, che-hao krude 林哲豪",Taiwan,baishengcun coffee 百勝村咖啡莊園,2016 Washed,baishengcun coffee 百勝村咖啡莊園,Taiwan,taiwan coffee laboratory,natou county,蘇晉寬 Su Jin Kuan,20,50,Specialty Coffee Association,2016-01-01,2016-07-15,Typica,Washed / Wet,7.42,7.42,7.25,7.67,7.33,7.25,10.0,10.0,10.0,7.25,81.58,0.1,0,0.0,Blue-Green,0,2017-07-15,m,800.0,800.0,800.0
911,Arabica,juan luis alvarado romero,Guatemala,las delicias,11/23/0688,beneficio ixchel,11/23/0688,"unex guatemala, s.a.",santa rosa,OTTO BECKER,50,69,Asociacion Nacional Del Café,2017-01-01,,Bourbon,Washed / Wet,7.67,7.58,7.17,7.42,7.33,7.42,9.33,10.0,10.0,7.58,81.5,0.1,0,0.0,Green,0,,ft,1219.2,1219.2,1219.2
912,Arabica,"exportadora atlantic, s.a.",Nicaragua,finca las marías,017-053-0211 / 017-053-0212,beneficio atlantic condega,017-053-0211 / 017-053-0212,exportadora atlantic s.a,jalapa,Teófilo Narváez :,550,69,Instituto Hondureño del Café,2017-01-01,2017-06-20,Caturra,Other,7.5,7.42,7.33,7.33,7.25,7.33,10.0,10.0,10.0,7.33,81.5,0.11,0,0.0,Green,3,2018-06-20,m,1100.0,1100.0,1100.0
913,Arabica,elsy reyes,Honduras,las cuchillas,98,cigrah,13-111-083,cigrah,comayagua,NAHUN MALDONADO,275,69,Instituto Hondureño del Café,2017-01-01,,Caturra,Washed / Wet,7.5,7.5,7.33,7.42,7.17,7.25,10.0,10.0,10.0,7.33,81.5,0.1,0,0.0,Green,5,,m,1400.0,1400.0,1400.0
936,Arabica,juan luis alvarado romero,Guatemala,nueva granada,11/326/14,beneficio nueva granada,11/326/14,"agricola nueva granada, s.a.",san marcos,"AGRICOLA NUEVA GRANADA, S.A.",450,69,Asociacion Nacional Del Café,2016-01-01,2016-03-17,Catuai,Washed / Wet,7.42,7.33,7.08,7.58,7.33,7.25,10.0,10.0,10.0,7.42,81.42,0.1,0,0.0,Green,0,2017-03-17,ft,1371.6,1371.6,1371.6
952,Arabica,bismarck castro,Honduras,las cuchillas,149,dry mill,13-111-084,cigrah s.a de c.v,comayagua,Nahun Maldonado,275,69,Instituto Hondureño del Café,,2016-06-09,Caturra,Washed / Wet,7.5,7.5,7.0,7.17,7.5,7.33,10.0,10.0,10.0,7.33,81.33,0.11,0,2.0,Bluish-Green,3,2017-06-09,m,1500.0,1500.0,1500.0
963,Arabica,"lin, che-hao krude 林哲豪",Taiwan,jing jing café 晶晶坊青山咖啡教室,2016NA Lot001,jing jing café 晶晶坊青山咖啡教室,Taiwan,taiwan coffee laboratory,"dongshan dist., tainan city 台南市東山區",Hu Guei Jing 胡桂青,20,50,Specialty Coffee Association,2015-01-01,2016-05-18,Typica,Natural / Dry,7.83,7.75,7.67,7.83,7.83,7.75,9.33,10.0,10.0,5.25,81.25,0.12,0,0.0,Green,0,2017-05-18,m,680.0,680.0,680.0
1000,Arabica,consejo salvadoreño del café,El Salvador,santa josefita,1-198,beneficio cuzcachapa,09-030-273,soc. coop. cuzcachapa de r.l.,apaneca,"Balcanes Coffee Estates, S.A. de C.V.",100,69,Salvadoran Coffee Council,2017-01-01,2017-08-28,Bourbon,Washed / Wet,7.42,7.08,7.08,7.33,7.25,7.58,10.0,10.0,10.0,7.25,81.0,0.0,0,2.0,Green,6,2018-08-28,m,1450.0,1450.0,1450.0
1002,Arabica,juan luis alvarado romero,Guatemala,chapultepec,11/23/0506,beneficio ixchel,11/23/0506,"unex guatemala, s.a.",norte,CHAPULTEPEC,120,69,Asociacion Nacional Del Café,2016-01-01,,Bourbon,Washed / Wet,7.42,7.25,7.17,7.5,7.25,7.17,10.0,10.0,10.0,7.25,81.0,0.09,0,0.0,Green,8,,m,3280.0,3280.0,3280.0
1015,Arabica,juan luis alvarado romero,Guatemala,la esperanza,11/23/0689,beneficio ixchel,11/23/0689,"unex guatemala, s.a.",oriente,"AGRICOLA EL PILAR, S.A.",25,69,Asociacion Nacional Del Café,2017-01-01,,Bourbon,Washed / Wet,7.67,7.67,7.33,7.58,7.67,7.5,9.33,9.33,9.33,7.5,80.92,0.1,0,0.0,Green,2,,m,1901.0,1901.0,1901.0
1070,Arabica,juan luis alvarado romero,Guatemala,el guayabo,11/15/0293,el guayabo,11/15/0293,"peter schoelfeld, s.a",santa rosa,EDWIN MUÑOZ,275,69,Asociacion Nacional Del Café,2017-01-01,2017-09-08,Caturra,Washed / Wet,7.33,7.25,7.08,7.17,7.25,7.17,10.0,10.0,10.0,7.25,80.5,0.1,0,0.0,Green,4,2018-09-08,m,1500.0,1500.0,1500.0
1071,Arabica,janny marlith torres,Honduras,la bendicion,331,en cortado beneficiado y secado por el productor,13-154-234,coffee planet corporation s.a,ocotepeque,Jorge Alfredo Pinto,15,69,Instituto Hondureño del Café,2017-01-01,,Catuai,Washed / Wet,7.58,7.33,7.0,7.17,7.33,7.08,10.0,10.0,10.0,7.0,80.5,0.11,0,0.0,Green,5,,m,1650.0,1650.0,1650.0
1095,Arabica,volcafe ltda. - brasil,Brazil,são rafael_ ra/ras certified,2017-003,copag - varginha - mg,002/143-0/0058,volcafe ltda.,cerrado - monte carmelo - minas gerais,Luiz Augusto Pereira Moguilod,440,59,Brazil Specialty Coffee Association,,,Catuai,Natural / Dry,7.17,7.33,7.42,7.08,7.0,7.0,10.0,10.0,10.0,7.25,80.25,0.11,0,1.0,Green,1,,m,995.0,995.0,995.0
1096,Arabica,bismarck castro,Honduras,las moras,102,cigrah s.a de c.v.,13-111-053,cigrah s.a de c.v,comayagua,Yamilet Lope,275,69,Instituto Hondureño del Café,2016-01-01,2017-04-06,Caturra,Natural / Dry,7.25,7.25,7.0,7.0,7.42,7.0,10.0,10.0,10.0,7.33,80.25,0.1,0,0.0,Green,4,2018-04-06,m,1400.0,1400.0,1400.0
1123,Arabica,"comercial internacional exportadora, s.a.",Nicaragua,santa matilde,605135 / K1730103,beneficio san carlos,017/001/1638,"comercial internacional exportadora, s.a.",jinotega,RONALDO LACAYO CARDENAL,275,69,Instituto Hondureño del Café,2017-01-01,2017-06-13,Caturra,Washed / Wet,7.33,7.08,6.92,7.08,7.42,7.17,10.0,10.0,10.0,7.0,80.0,0.1,0,0.0,Green,5,2018-06-13,m,1250.0,1250.0,1250.0
1141,Arabica,juan luis alvarado romero,Guatemala,piamonte,11/23/0639,beneficio ixchel,11/23/0639,"unex guatemala, s.a.",san marcos,JORGE LEAL,50,69,Asociacion Nacional Del Café,2017-01-01,,Bourbon,Washed / Wet,7.33,7.25,6.92,7.33,7.25,7.33,9.33,10.0,10.0,7.08,79.83,0.1,0,0.0,Green,2,,m,1700.0,1700.0,1700.0
1145,Arabica,juan luis alvarado romero,Guatemala,la esperanza,11/23/0507,beneficio ixchel,11/23/0507,"unex guatemala, s.a.",oriente,"AGRICOLA EL PILAR, S.A.",25,69,Asociacion Nacional Del Café,2016-01-01,,Bourbon,Washed / Wet,7.5,7.42,7.25,7.58,7.33,7.42,9.33,9.33,9.33,7.25,79.75,0.1,0,4.0,Green,1,,m,190164.0,190164.0,190164.0
1158,Arabica,juan luis alvarado romero,Guatemala,la esmeralda,11/23/0508,beneficio ixchel,11/23/0508,"unex guatemala, s.a.",oriente,JESUS RAMIREZ,25,69,Asociacion Nacional Del Café,2016-01-01,,Bourbon,Washed / Wet,7.42,7.42,7.25,7.58,7.42,7.33,9.33,9.33,9.33,7.25,79.67,0.1,0,2.0,Green,1,,ft,1219.2,1219.2,1219.2
1159,Arabica,consejo salvadoreño del café,El Salvador,la montaña,1,sociedad cooperativa de cafetaleros de ciudad barrios de r.l.,9,consejo salvadoreño del café,cacahuatique,Sociedad Cooperativa de Cafetaleros de Ciudad Barrios de R.L.,275,69,Salvadoran Coffee Council,2016-01-01,,Bourbon,Washed / Wet,7.25,7.08,7.0,6.83,7.33,7.17,10.0,10.0,10.0,7.0,79.67,0.0,0,0.0,Bluish-Green,12,,m,1250.0,1250.0,1250.0
1185,Arabica,juan luis alvarado romero,Guatemala,las delicias,11/23/0632,beneficio ixchel,11/23/0632,"unex guatemala, s.a.",santa rosa,OTTO BECKER,50,69,Asociacion Nacional Del Café,2017-01-01,,Bourbon,Washed / Wet,7.33,7.42,7.33,7.42,7.5,7.42,8.67,9.33,9.33,7.42,79.17,0.1,0,0.0,Green,0,,ft,1219.2,1219.2,1219.2
1186,Arabica,janny marlith torres,Honduras,la bendicion,Lot # 331,dry in solar beds,13-154-234,coffee planet corporation s.a,ocotepeque,Jorge Alfredo Pinto,15,69,Instituto Hondureño del Café,2017-01-01,2017-07-27,Catuai,Washed / Wet,7.58,7.0,6.75,6.92,7.0,6.92,10.0,10.0,10.0,7.0,79.17,0.11,0,0.0,Green,5,2018-07-27,m,1650.0,1650.0,1650.0
1187,Arabica,juan luis alvarado romero,Guatemala,chapultepec,11/23/0168,beneficio ixchel,11/23/0168,"unex guatemala, s.a.",occidente,CHAPULTEPEC,250,69,Asociacion Nacional Del Café,2016-01-01,,Bourbon,Washed / Wet,7.08,7.0,6.92,7.42,7.0,6.92,10.0,10.0,10.0,6.83,79.17,0.11,0,8.0,Green,6,,m,1320.0,1320.0,1320.0
1193,Arabica,juan luis alvarado romero,Guatemala,las merceditas,11/23/0693,beneficio ixchel,11/23/0693,"unex guatemala, s.a.",san marcos,ANGEL DE LEON,50,69,Asociacion Nacional Del Café,2017-01-01,,Bourbon,Washed / Wet,7.58,7.67,7.42,7.42,7.67,7.67,8.67,8.67,8.67,7.67,79.08,0.1,0,0.0,Green,1,,m,1700.0,1700.0,1700.0
1207,Arabica,"exportadora atlantic, s.a.",Nicaragua,finca las marías,017-053-0211/053-0212,beneficio atlantic condega,017-053-0211/053-0212,exportadora atlantic s.a,jalapa,Teófilo Narváez,1,1,Instituto Hondureño del Café,2016-01-01,,Caturra,Other,7.17,7.0,6.92,7.0,7.0,7.0,10.0,10.0,10.0,6.75,78.83,0.1,0,2.0,Green,4,,m,1100.0,1100.0,1100.0
1236,Arabica,"lin, che-hao krude 林哲豪",Taiwan,大鋤花間 (hoe vs. flower coffee farm),2017台南市精品咖啡評鑑批次 Specialty Coffee Evaluation of Tainan 2017 lot.20161230,大鋤花間 (hoe vs. flower coffee farm),Taiwan,taiwan coffee laboratory,"台南市東山區( dongshan dist., tainan city)","林俊吉( Lin, Chun-Chi)",8,10,Specialty Coffee Association,2016-01-01,2017-06-06,Yellow Bourbon,Washed / Wet,7.5,7.08,7.33,7.17,7.5,7.5,6.67,10.0,10.0,7.25,78.0,0.0,3,0.0,Green,4,2018-06-06,m,650.0,650.0,650.0
1254,Arabica,ipanema coffees,Brazil,fazenda capoeirnha,020/17,dry mill,002/1660/0080,ipanema coffees,south of minas,Ipanema Agricola S.A,320,60,Brazil Specialty Coffee Association,,2017-10-20,Bourbon,Natural / Dry,7.5,7.33,7.42,7.58,7.58,6.92,8.0,8.0,10.0,7.0,77.33,0.0,0,0.0,Green,3,2018-10-20,m,890.0,890.0,890.0
1309,Arabica,"exportadora atlantic, s.a.",Nicaragua,finca las marías,017-053-0211/ 017-053-0212,beneficio atlantic condega,017-053-0211/ 017-053-0212,exportadora atlantic s.a,jalapa,Teófilo Narváez,550,69,Instituto Hondureño del Café,2016-01-01,2017-06-06,Caturra,Other,7.25,6.58,6.33,6.25,6.42,6.08,6.0,6.0,6.0,6.17,63.08,0.13,1,0.0,Green,5,2018-06-06,m,1100.0,1100.0,1100.0
